,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
1038,1038.0,90.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_8790,1038.0,90.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_8790
1040,1040.0,92.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790,1040.0,92.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790
1044,1044.0,96.0,1.0,Enabled:,nextcloud_server_issues_8790,1044.0,96.0,0.0,Enabled:,nextcloud_server_issues_8790
1083,1083.0,135.0,1.0,**Nextcloud configuration:**,nextcloud_server_issues_8790,1083.0,135.0,0.0,**Nextcloud configuration:**,nextcloud_server_issues_8790
1088,1088.0,140.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_8790,1088.0,140.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_8790
1090,1090.0,142.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790,1090.0,142.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790
1092,1092.0,144.0,0.0,or,nextcloud_server_issues_8790,1092.0,144.0,1.0,or ,nextcloud_server_issues_8790
1094,1094.0,146.0,0.0,Insert your config.php content here.,nextcloud_server_issues_8790,1094.0,146.0,1.0,Insert your config.php content here. ,nextcloud_server_issues_8790
1095,1095.0,147.0,0.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_8790,1095.0,147.0,1.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_8790
1493,1493.0,545.0,0.0,S3,nextcloud_server_issues_8790,1493.0,545.0,1.0,S3,nextcloud_server_issues_8790
1506,1506.0,558.0,0.0,With access to your command line run e.g.:,nextcloud_server_issues_8790,1506.0,558.0,1.0,With access to your command line run e.g.:,nextcloud_server_issues_8790
1508,1508.0,560.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790,1508.0,560.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_8790
1510,1510.0,562.0,0.0,Without access to your command line download the data/owncloud.db to your local,nextcloud_server_issues_8790,1510.0,562.0,1.0,Without access to your command line download the data/owncloud.db to your local,nextcloud_server_issues_8790
1511,1511.0,563.0,0.0,computer or access your SQL server remotely and run the select query:,nextcloud_server_issues_8790,1511.0,563.0,1.0,computer or access your SQL server remotely and run the select query:,nextcloud_server_issues_8790
1515,1515.0,567.0,0.0,Eventually replace sensitive data as the name/IP-address of your LDAP server or groups.,nextcloud_server_issues_8790,1515.0,567.0,1.0,Eventually replace sensitive data as the name/IP-address of your LDAP server or groups.,nextcloud_server_issues_8790
1519,1519.0,571.0,1.0,### Client configuration,nextcloud_server_issues_8790,1519.0,571.0,0.0,### Client configuration,nextcloud_server_issues_8790
1520,1520.0,572.0,1.0,**Browser:**,nextcloud_server_issues_8790,1520.0,572.0,0.0,**Browser:**,nextcloud_server_issues_8790
1521,1521.0,573.0,1.0,Firefox,nextcloud_server_issues_8790,1521.0,573.0,0.0,Firefox,nextcloud_server_issues_8790
1522,1522.0,574.0,1.0,**Operating system:**,nextcloud_server_issues_8790,1522.0,574.0,0.0,**Operating system:**,nextcloud_server_issues_8790
1523,1523.0,575.0,1.0,MacOS,nextcloud_server_issues_8790,1523.0,575.0,0.0,MacOS,nextcloud_server_issues_8790
1524,1524.0,576.0,1.0,### Logs,nextcloud_server_issues_8790,1524.0,576.0,0.0,### Logs,nextcloud_server_issues_8790
1525,1525.0,577.0,1.0,#### Web server error log,nextcloud_server_issues_8790,1525.0,577.0,0.0,#### Web server error log,nextcloud_server_issues_8790
1534,1534.0,586.0,1.0,#### Nextcloud log (data/nextcloud.log),nextcloud_server_issues_8790,1534.0,586.0,0.0,#### Nextcloud log (data/nextcloud.log),nextcloud_server_issues_8790
1543,1543.0,595.0,1.0,#### Browser log,nextcloud_server_issues_8790,1543.0,595.0,0.0,#### Browser log,nextcloud_server_issues_8790
1548,1548.0,600.0,0.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_8790,1548.0,600.0,1.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_8790
1550,1550.0,602.0,0.0,a) The javascript console log,nextcloud_server_issues_8790,1550.0,602.0,1.0,a) The javascript console log,nextcloud_server_issues_8790
1551,1551.0,603.0,0.0,b) The network log,nextcloud_server_issues_8790,1551.0,603.0,1.0,b) The network log,nextcloud_server_issues_8790
1615,1615.0,4.0,1.0,- Fix https://github.com/phalcon/cphalcon/issues/14705,phalcon_cphalcon_issues_15720,1615.0,4.0,0.0,- Fix https://github.com/phalcon/cphalcon/issues/14705,phalcon_cphalcon_issues_15720
2701,2701.0,40.0,0.0,"Will throw a `SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed` exception, because the second `firstOrCreate` somehow can't find the model and tries to create another one.",laravel_framework_issues_27553,2701.0,40.0,1.0,"Will throw a `SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed` exception, because the second `firstOrCreate` somehow can't find the model and tries to create another one.",laravel_framework_issues_27553
2753,2753.0,0.0,1.0,occ db:convert-filecache-bigint not possible in automatic instances,nextcloud_server_issues_12976,2753.0,0.0,0.0,occ db:convert-filecache-bigint not possible in automatic instances,nextcloud_server_issues_12976
2858,2858.0,34.0,1.0,NC-log,nextcloud_server_issues_26435,2858.0,34.0,0.0,NC-log,nextcloud_server_issues_26435
2938,2938.0,1.0,0.0,| Q                | A,symfony_symfony_issues_25464,2938.0,1.0,1.0,| Q                | A,symfony_symfony_issues_25464
2940,2940.0,3.0,0.0,| Bug report?      | yes,symfony_symfony_issues_25464,2940.0,3.0,1.0,| Bug report?      | yes,symfony_symfony_issues_25464
2941,2941.0,4.0,0.0,| Feature request? | no,symfony_symfony_issues_25464,2941.0,4.0,1.0,| Feature request? | no,symfony_symfony_issues_25464
2942,2942.0,5.0,0.0,| BC Break report? | no,symfony_symfony_issues_25464,2942.0,5.0,1.0,| BC Break report? | no,symfony_symfony_issues_25464
2943,2943.0,6.0,0.0,| RFC?             | no,symfony_symfony_issues_25464,2943.0,6.0,1.0,| RFC?             | no,symfony_symfony_issues_25464
2944,2944.0,7.0,0.0,| Symfony version  | 3.1.6,symfony_symfony_issues_25464,2944.0,7.0,1.0,| Symfony version  | 3.1.6,symfony_symfony_issues_25464
2955,2955.0,18.0,0.0,## Code,symfony_symfony_issues_25464,2955.0,18.0,1.0,## Code,symfony_symfony_issues_25464
3030,3030.0,3.0,1.0,"Error: Key ""location"" for array with keys ""idSite, idVisit, visitIp, visitorId, actionDetails, goalConversions, siteCurrency, siteCurrencySymbol, serverDate, visitServerHour, lastActionTimestamp, lastActionDateTime, userId, visitorType, visitorTypeIcon, visitConverted, visitConvertedIcon, visitCount, firstActionTimestamp, visitEcommerceStatus, visitEcommerceStatusIcon, daysSinceFirstVisit, daysSinceLastEcommerceOrder, visitDuration, visitDurationPretty, searches, actions, referrerType, referrerTypeName, referrerName, referrerKeyword, referrerKeywordPosition, referrerUrl, referrerSearchEngineUrl, referrerSearchEngineIcon, languageCode, language, deviceType, deviceTypeIcon, deviceBrand, deviceModel, operatingSystem, operatingSystemName, operatingSystemIcon, operatingSystemCode, operatingSystemVersion, browserFamily, browserFamilyDescription, browser, browserName, browserIcon, browserCode, browserVersion, events, visitLocalTime, visitLocalHour, daysSinceLastVisit, customVariables, resolution, plugins, pluginsIcons, dimension1, dimension2, dimension3, testisUnus, serverTimestamp, serverTimePretty, serverDatePretty, serverDatePrettyFirstAction, serverTimePrettyFirstAction"" does not exist in ""@Live/getSingleVisitSummary.twig"" at line 8",matomo-org_matomo_issues_10206,3030.0,3.0,0.0,"Error: Key ""location"" for array with keys ""idSite, idVisit, visitIp, visitorId, actionDetails, goalConversions, siteCurrency, siteCurrencySymbol, serverDate, visitServerHour, lastActionTimestamp, lastActionDateTime, userId, visitorType, visitorTypeIcon, visitConverted, visitConvertedIcon, visitCount, firstActionTimestamp, visitEcommerceStatus, visitEcommerceStatusIcon, daysSinceFirstVisit, daysSinceLastEcommerceOrder, visitDuration, visitDurationPretty, searches, actions, referrerType, referrerTypeName, referrerName, referrerKeyword, referrerKeywordPosition, referrerUrl, referrerSearchEngineUrl, referrerSearchEngineIcon, languageCode, language, deviceType, deviceTypeIcon, deviceBrand, deviceModel, operatingSystem, operatingSystemName, operatingSystemIcon, operatingSystemCode, operatingSystemVersion, browserFamily, browserFamilyDescription, browser, browserName, browserIcon, browserCode, browserVersion, events, visitLocalTime, visitLocalHour, daysSinceLastVisit, customVariables, resolution, plugins, pluginsIcons, dimension1, dimension2, dimension3, testisUnus, serverTimestamp, serverTimePretty, serverDatePretty, serverDatePrettyFirstAction, serverTimePrettyFirstAction"" does not exist in ""@Live/getSingleVisitSummary.twig"" at line 8",matomo-org_matomo_issues_10206
3115,3115.0,81.0,1.0,**Nextcloud version:** 12.0.1 - 12.0.1.5,nextcloud_server_issues_6083,3115.0,81.0,0.0,**Nextcloud version:** 12.0.1 - 12.0.1.5,nextcloud_server_issues_6083
3221,3221.0,187.0,1.0,"**Browser:** Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36",nextcloud_server_issues_6083,3221.0,187.0,0.0,"**Browser:** Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36",nextcloud_server_issues_6083
3223,3223.0,189.0,1.0,**Operating system:** Windows 10,nextcloud_server_issues_6083,3223.0,189.0,0.0,**Operating system:** Windows 10,nextcloud_server_issues_6083
3231,3231.0,197.0,0.0,Insert your webserver log here,nextcloud_server_issues_6083,3231.0,197.0,1.0,Insert your webserver log here,nextcloud_server_issues_6083
3239,3239.0,205.0,0.0,Empty log file,nextcloud_server_issues_6083,3239.0,205.0,1.0,Empty log file,nextcloud_server_issues_6083
3247,3247.0,213.0,0.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_6083,3247.0,213.0,1.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_6083
3249,3249.0,215.0,0.0,a) The javascript console log,nextcloud_server_issues_6083,3249.0,215.0,1.0,a) The javascript console log,nextcloud_server_issues_6083
3250,3250.0,216.0,0.0,b) The network log,nextcloud_server_issues_6083,3250.0,216.0,1.0,b) The network log,nextcloud_server_issues_6083
3367,3367.0,15.0,1.0,[Extending Event Manager functionality and adding Event Provider](https://github.com/phalcon/cphalcon/pull/14859),phalcon_cphalcon_issues_14861,3367.0,15.0,0.0,[Extending Event Manager functionality and adding Event Provider](https://github.com/phalcon/cphalcon/pull/14859),phalcon_cphalcon_issues_14861
3392,3392.0,1.0,1.0,Loading composer repositories with package information,octobercms_october_issues_3422,3392.0,1.0,0.0,Loading composer repositories with package information,octobercms_october_issues_3422
3393,3393.0,2.0,1.0,Updating dependencies (including require-dev),octobercms_october_issues_3422,3393.0,2.0,0.0,Updating dependencies (including require-dev),octobercms_october_issues_3422
3402,3402.0,11.0,0.0,In Date.php line 10:,octobercms_october_issues_3422,3402.0,11.0,1.0,In Date.php line 10:,octobercms_october_issues_3422
3410,3410.0,19.0,0.0,Script php artisan october:util set build handling the post-update-cmd event returned with error code 1,octobercms_october_issues_3422,3410.0,19.0,1.0,Script php artisan october:util set build handling the post-update-cmd event returned with error code 1,octobercms_october_issues_3422
3411,3411.0,20.0,0.0,In Date.php line 10:,octobercms_october_issues_3422,3411.0,20.0,1.0,In Date.php line 10:,octobercms_october_issues_3422
3521,3521.0,35.0,1.0,Debian/Ubuntu,nextcloud_server_issues_30944,3521.0,35.0,0.0,Debian/Ubuntu,nextcloud_server_issues_30944
3745,3745.0,1.0,0.0,| Q                | A,symfony_symfony_issues_25754,3745.0,1.0,1.0,| Q                | A,symfony_symfony_issues_25754
3747,3747.0,3.0,0.0,| Bug report?      | yes,symfony_symfony_issues_25754,3747.0,3.0,1.0,| Bug report?      | yes,symfony_symfony_issues_25754
3748,3748.0,4.0,0.0,| Feature request? | no,symfony_symfony_issues_25754,3748.0,4.0,1.0,| Feature request? | no,symfony_symfony_issues_25754
3749,3749.0,5.0,0.0,| BC Break report? | no,symfony_symfony_issues_25754,3749.0,5.0,1.0,| BC Break report? | no,symfony_symfony_issues_25754
3750,3750.0,6.0,0.0,| RFC?             | no,symfony_symfony_issues_25754,3750.0,6.0,1.0,| RFC?             | no,symfony_symfony_issues_25754
3751,3751.0,7.0,0.0,| Symfony version  | 3.4+,symfony_symfony_issues_25754,3751.0,7.0,1.0,| Symfony version  | 3.4+,symfony_symfony_issues_25754
3755,3755.0,11.0,0.0,1. `composer create-project symfony/skeleton my-project`,symfony_symfony_issues_25754,3755.0,11.0,1.0,1. `composer create-project symfony/skeleton my-project`,symfony_symfony_issues_25754
3850,3850.0,18.0,0.0,![image](https://user-images.githubusercontent.com/1536454/55290673-88dd3b80-53ef-11e9-8419-3545d76ed41a.png),yiisoft_yii2_issues_17243,3850.0,18.0,1.0,![image](https://user-images.githubusercontent.com/1536454/55290673-88dd3b80-53ef-11e9-8419-3545d76ed41a.png),yiisoft_yii2_issues_17243
3973,3973.0,44.0,1.0,expected result in $_POST,guzzle_guzzle_issues_690,3973.0,44.0,0.0,expected result in $_POST,guzzle_guzzle_issues_690
3997,3997.0,3.0,1.0,Dependabot requires a package.json to evaluate your project's current JavaScript dependencies. It had expected to find one at the path: `/settings/package.json`.,nextcloud_server_issues_14351,3997.0,3.0,0.0,Dependabot requires a package.json to evaluate your project's current JavaScript dependencies. It had expected to find one at the path: `/settings/package.json`.,nextcloud_server_issues_14351
3999,3999.0,5.0,1.0,"If this isn't a JavaScript project, or if it is a library, you may wish to disable updates for it from within [Dependabot](https://app.dependabot.com).",nextcloud_server_issues_14351,3999.0,5.0,0.0,"If this isn't a JavaScript project, or if it is a library, you may wish to disable updates for it from within [Dependabot](https://app.dependabot.com).",nextcloud_server_issues_14351
4259,4259.0,4.0,0.0,cpuid:,phalcon_cphalcon_issues_10427,4259.0,4.0,1.0,cpuid:,phalcon_cphalcon_issues_10427
4289,4289.0,6.0,1.0,### Expected behaviour,nextcloud_server_issues_14594,4289.0,6.0,0.0,### Expected behaviour,nextcloud_server_issues_14594
4295,4295.0,12.0,1.0,Reference #11531,nextcloud_server_issues_14594,4295.0,12.0,0.0,Reference #11531,nextcloud_server_issues_14594
4319,4319.0,36.0,0.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_14594,4319.0,36.0,1.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_14594
4321,4321.0,38.0,0.0,paste the results here.,nextcloud_server_issues_14594,4321.0,38.0,1.0,paste the results here.,nextcloud_server_issues_14594
4364,4364.0,1.0,0.0,| Q                | A,symfony_symfony_issues_21738,4364.0,1.0,1.0,| Q                | A,symfony_symfony_issues_21738
4366,4366.0,3.0,0.0,| Bug report?      | yes,symfony_symfony_issues_21738,4366.0,3.0,1.0,| Bug report?      | yes,symfony_symfony_issues_21738
4367,4367.0,4.0,0.0,| Feature request? | no,symfony_symfony_issues_21738,4367.0,4.0,1.0,| Feature request? | no,symfony_symfony_issues_21738
4368,4368.0,5.0,0.0,| BC Break report? | no,symfony_symfony_issues_21738,4368.0,5.0,1.0,| BC Break report? | no,symfony_symfony_issues_21738
4369,4369.0,6.0,0.0,| Symfony version  | 3.x,symfony_symfony_issues_21738,4369.0,6.0,1.0,| Symfony version  | 3.x,symfony_symfony_issues_21738
4790,4790.0,4.0,1.0,Want to back this issue? **[Post a bounty on it!](https://www.bountysource.com/issues/1896404-nfr-subqueries-in-phql?utm_campaign=plugin&utm_content=tracker%2F50707&utm_medium=issues&utm_source=github)** We accept bounties via [Bountysource](https://www.bountysource.com/?utm_campaign=plugin&utm_content=tracker%2F50707&utm_medium=issues&utm_source=github).,phalcon_cphalcon_issues_496,4790.0,4.0,0.0,Want to back this issue? **[Post a bounty on it!](https://www.bountysource.com/issues/1896404-nfr-subqueries-in-phql?utm_campaign=plugin&utm_content=tracker%2F50707&utm_medium=issues&utm_source=github)** We accept bounties via [Bountysource](https://www.bountysource.com/?utm_campaign=plugin&utm_content=tracker%2F50707&utm_medium=issues&utm_source=github).,phalcon_cphalcon_issues_496
4833,4833.0,6.0,0.0,Version => 2.1.0r,phalcon_cphalcon_issues_11997,4833.0,6.0,1.0,Version => 2.1.0r,phalcon_cphalcon_issues_11997
4834,4834.0,7.0,0.0,Build Date => Jun  3 2016 14:01:39,phalcon_cphalcon_issues_11997,4834.0,7.0,1.0,Build Date => Jun  3 2016 14:01:39,phalcon_cphalcon_issues_11997
4835,4835.0,8.0,0.0,Powered by Zephir => Version 0.9.2a-dev,phalcon_cphalcon_issues_11997,4835.0,8.0,1.0,Powered by Zephir => Version 0.9.2a-dev,phalcon_cphalcon_issues_11997
4905,4905.0,4.0,0.0,"""Congratulations!",phalcon_cphalcon_issues_2501,4905.0,4.0,1.0,"""Congratulations!",phalcon_cphalcon_issues_2501
4906,4906.0,5.0,0.0,"You're now flying with Phalcon.""",phalcon_cphalcon_issues_2501,4906.0,5.0,1.0,"You're now flying with Phalcon.""",phalcon_cphalcon_issues_2501
4987,4987.0,7.0,0.0, How to test?,symfony_symfony_issues_42545,4987.0,7.0,1.0, How to test?,symfony_symfony_issues_42545
4989,4989.0,9.0,0.0,  * Write test cases in the tests/ folder,symfony_symfony_issues_42545,4989.0,9.0,1.0,  * Write test cases in the tests/ folder,symfony_symfony_issues_42545
4990,4990.0,10.0,0.0,  * Use MakerBundle's make:test command as a shortcut!,symfony_symfony_issues_42545,4990.0,10.0,1.0,  * Use MakerBundle's make:test command as a shortcut!,symfony_symfony_issues_42545
4991,4991.0,11.0,0.0,  * Run the tests with php bin/phpunit,symfony_symfony_issues_42545,4991.0,11.0,1.0,  * Run the tests with php bin/phpunit,symfony_symfony_issues_42545
4997,4997.0,17.0,0.0,"> After the library is installed, try running PHPUnit: ",symfony_symfony_issues_42545,4997.0,17.0,1.0,"> After the library is installed, try running PHPUnit: ",symfony_symfony_issues_42545
5015,5015.0,11.0,1.0,  - See the [full list all plugins for Piwik 1.x](http://dev.piwik.org/trac/query?status=closed&keywords=~third-party-plugin&col=id&col=summary&col=owner&col=type&col=priority&col=component&col=time&order=priority).,matomo-org_matomo_issues_4607,5015.0,11.0,0.0,  - See the [full list all plugins for Piwik 1.x](http://dev.piwik.org/trac/query?status=closed&keywords=~third-party-plugin&col=id&col=summary&col=owner&col=type&col=priority&col=component&col=time&order=priority).,matomo-org_matomo_issues_4607
5018,5018.0,14.0,1.0,- Update FAQ: http://piwik.org/faq/plugins/,matomo-org_matomo_issues_4607,5018.0,14.0,0.0,- Update FAQ: http://piwik.org/faq/plugins/,matomo-org_matomo_issues_4607
5077,5077.0,48.0,0.0,"<!-- laravel new bug-report --github=""--public"" -->",laravel_framework_issues_40268,5077.0,48.0,1.0,"<!-- laravel new bug-report --github=""--public"" -->",laravel_framework_issues_40268
