,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
1153,1153.0,0.0,0.0," FATAL EXCEPTION: main                                                                                      Process: br.com.dina.oauth.instagram.example, PID: 22662                                                                                      java.lang.NoClassDefFoundError: Failed resolution of: Lretrofit/RestAdapter$Builder;                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuthService.<init>(OAuthService.java:50)                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuth1aService.<init>(OAuth1aService.java:74)                                                                                          at com.twitter.sdk.android.core.identity.OAuthActivity.onCreate(OAuthActivity.java:69)                                                                                          at android.app.Activity.performCreate(Activity.java:6237)",square_retrofit_issues_1659,1153.0,0,1.0," FATAL EXCEPTION: main                                                                                      Process: br.com.dina.oauth.instagram.example, PID: 22662                                                                                      java.lang.NoClassDefFoundError: Failed resolution of: Lretrofit/RestAdapter$Builder;                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuthService.<init>(OAuthService.java:50)                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuth1aService.<init>(OAuth1aService.java:74)                                                                                          at com.twitter.sdk.android.core.identity.OAuthActivity.onCreate(OAuthActivity.java:69)                                                                                          at android.app.Activity.performCreate(Activity.java:6237)",square_retrofit_issues_1659
1199,1199.0,4.0,1.0,_show(Stage)_ : Your dialog will appear at the center of the stage with a default fade-in _Action_.,libgdx_libgdx_issues_5301,1199.0,4,0.0,_show(Stage)_ : Your dialog will appear at the center of the stage with a default fade-in _Action_.,libgdx_libgdx_issues_5301
1200,1200.0,5.0,1.0,"_show(Stage, Action)_: Your dialog will appear on stage with the specified action but not centered!",libgdx_libgdx_issues_5301,1200.0,5,0.0,"_show(Stage, Action)_: Your dialog will appear on stage with the specified action but not centered!",libgdx_libgdx_issues_5301
1207,1207.0,12.0,0.0,"Libgdx 1.9.9-SNAPSHOT, scene2d",libgdx_libgdx_issues_5301,1207.0,12,1.0,"Libgdx 1.9.9-SNAPSHOT, scene2d",libgdx_libgdx_issues_5301
1209,1209.0,1.0,0.0,See http://www.beyondjava.net/blog/updating-to-mojarra-2-2-11-may-break-your-spring-boot-application/,spring-projects_spring-boot_issues_3216,1209.0,1,1.0,See http://www.beyondjava.net/blog/updating-to-mojarra-2-2-11-may-break-your-spring-boot-application/,spring-projects_spring-boot_issues_3216
1273,1273.0,7.0,0.0,- [SeleniumHQ IRC channel](https://webchat.freenode.net/),SeleniumHQ_selenium_issues_8600,1273.0,7,1.0,- [SeleniumHQ IRC channel](https://webchat.freenode.net/),SeleniumHQ_selenium_issues_8600
1274,1274.0,8.0,0.0,- [SeleniumHQ Slack channel](https://seleniumhq.slack.com/join/shared_invite/enQtODAwOTUzOTM5OTEwLTZjZjgzN2ExOTBmZGE0NjkwYzA2Nzc0MjczMGYwYjdiNGQ5YjI0ZjdjYjFhMjVlMjFkZWJmNDYyMmU1OTYyM2Y),SeleniumHQ_selenium_issues_8600,1274.0,8,1.0,- [SeleniumHQ Slack channel](https://seleniumhq.slack.com/join/shared_invite/enQtODAwOTUzOTM5OTEwLTZjZjgzN2ExOTBmZGE0NjkwYzA2Nzc0MjczMGYwYjdiNGQ5YjI0ZjdjYjFhMjVlMjFkZWJmNDYyMmU1OTYyM2Y),SeleniumHQ_selenium_issues_8600
1275,1275.0,9.0,0.0,- The [Selenium Users](https://groups.google.com/forum/#!forum/selenium-users) google group,SeleniumHQ_selenium_issues_8600,1275.0,9,1.0,- The [Selenium Users](https://groups.google.com/forum/#!forum/selenium-users) google group,SeleniumHQ_selenium_issues_8600
1487,1487.0,15.0,0.0,   git clone https://github.com/putztzu/nfl-elastic-aggregations.git,elastic_elasticsearch_issues_8884,1487.0,15,1.0,   git clone https://github.com/putztzu/nfl-elastic-aggregations.git,elastic_elasticsearch_issues_8884
1494,1494.0,22.0,1.0,From Project root/dataset/mappings/,elastic_elasticsearch_issues_8884,1494.0,22,0.0,From Project root/dataset/mappings/,elastic_elasticsearch_issues_8884
1496,1496.0,24.0,1.0,From Project root/dataset/,elastic_elasticsearch_issues_8884,1496.0,24,0.0,From Project root/dataset/,elastic_elasticsearch_issues_8884
2066,2066.0,3.0,0.0,- DBeaver 5.3.3,dbeaver_dbeaver_issues_5156,2066.0,3,1.0,- DBeaver 5.3.3,dbeaver_dbeaver_issues_5156
2069,2069.0,6.0,0.0,- Postgres 9.6,dbeaver_dbeaver_issues_5156,2069.0,6,1.0,- Postgres 9.6,dbeaver_dbeaver_issues_5156
2070,2070.0,7.0,0.0,- Driver 42.1.4,dbeaver_dbeaver_issues_5156,2070.0,7,1.0,- Driver 42.1.4,dbeaver_dbeaver_issues_5156
2444,2444.0,8.0,0.0,"OpenJDK 64-Bit Server VM AdoptOpenJDK (build 14+36, mixed mode, sharing)",elastic_elasticsearch_issues_59802,2444.0,8,1.0,"OpenJDK 64-Bit Server VM AdoptOpenJDK (build 14+36, mixed mode, sharing)",elastic_elasticsearch_issues_59802
2523,2523.0,21.0,0.0,**Query 2** - show tables from mysql.testdb;,prestodb_presto_issues_3470,2523.0,21,1.0,**Query 2** - show tables from mysql.testdb;,prestodb_presto_issues_3470
2562,2562.0,60.0,0.0,**Query 2** - show tables from mysql.lowercasedb;,prestodb_presto_issues_3470,2562.0,60,1.0,**Query 2** - show tables from mysql.lowercasedb;,prestodb_presto_issues_3470
2574,2574.0,72.0,0.0,**Query 3** - select \* from mysql.lowercasedb.tableone;,prestodb_presto_issues_3470,2574.0,72,1.0,**Query 3** - select \* from mysql.lowercasedb.tableone;,prestodb_presto_issues_3470
2589,2589.0,87.0,0.0,## Scenario 3 - DataBase name and Table name is in lower case letters,prestodb_presto_issues_3470,2589.0,87,1.0,## Scenario 3 - DataBase name and Table name is in lower case letters,prestodb_presto_issues_3470
2608,2608.0,106.0,0.0,**Query 2** - show tables from mysql.lowercasetabledb;,prestodb_presto_issues_3470,2608.0,106,1.0,**Query 2** - show tables from mysql.lowercasetabledb;,prestodb_presto_issues_3470
2620,2620.0,118.0,0.0,**Query 3** - select \* from mysql.lowercasetabledb.tableone;,prestodb_presto_issues_3470,2620.0,118,1.0,**Query 3** - select \* from mysql.lowercasetabledb.tableone;,prestodb_presto_issues_3470
2654,2654.0,1.0,0.0,**RestAdapter$RestHandler line 388,square_retrofit_issues_2742,2654.0,1,1.0,**RestAdapter$RestHandler line 388,square_retrofit_issues_2742
2993,2993.0,19.0,1.0,<!-- Feature request -->,elastic_elasticsearch_issues_24774,2993.0,19,0.0,<!-- Feature request -->,elastic_elasticsearch_issues_24774
2997,2997.0,23.0,1.0,<!-- Bug report -->,elastic_elasticsearch_issues_24774,2997.0,23,0.0,<!-- Bug report -->,elastic_elasticsearch_issues_24774
3183,3183.0,4.0,0.0,Ref: https://github.com/SeleniumHQ/selenium/issues/9588,SeleniumHQ_selenium_issues_9591,3183.0,4,1.0,Ref: https://github.com/SeleniumHQ/selenium/issues/9588,SeleniumHQ_selenium_issues_9591
3209,3209.0,5.0,1.0,* synchronizationOfMultipleSequencesLoop -  failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136,3209.0,5,0.0,* synchronizationOfMultipleSequencesLoop -  failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136
3210,3210.0,6.0,1.0,* blockingSourceAsnycCancel - failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136,3210.0,6,0.0,* blockingSourceAsnycCancel - failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136
3220,3220.0,16.0,1.0,"[2] D. Silva, L. Teixeira and M. d’Amorim, ""Shake It! Detecting Flaky Tests Caused by Concurrency with Shaker,"" 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME), Adelaide, Australia, 2020, pp. 301-311, https://ieeexplore.ieee.org/document/9240694/.",ReactiveX_RxJava_issues_7136,3220.0,16,0.0,"[2] D. Silva, L. Teixeira and M. d’Amorim, ""Shake It! Detecting Flaky Tests Caused by Concurrency with Shaker,"" 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME), Adelaide, Australia, 2020, pp. 301-311, https://ieeexplore.ieee.org/document/9240694/.",ReactiveX_RxJava_issues_7136
3783,3783.0,53.0,0.0,"openjdk version ""11.0.11"" 2021-04-20 OpenJDK Runtime Environment GraalVM CE 21.1.0 (build 11.0.11+8-jvmci-21.1-b05) OpenJDK 64-Bit Server VM GraalVM CE 21.1.0 (build 11.0.11+8-jvmci-21.1-b05, mixed mode, sharing)",quarkusio_quarkus_issues_19683,3783.0,53,1.0,"openjdk version ""11.0.11"" 2021-04-20 OpenJDK Runtime Environment GraalVM CE 21.1.0 (build 11.0.11+8-jvmci-21.1-b05) OpenJDK 64-Bit Server VM GraalVM CE 21.1.0 (build 11.0.11+8-jvmci-21.1-b05, mixed mode, sharing)",quarkusio_quarkus_issues_19683
3791,3791.0,61.0,0.0,2.1.2.Final,quarkusio_quarkus_issues_19683,3791.0,61,1.0,2.1.2.Final,quarkusio_quarkus_issues_19683
3810,3810.0,10.0,0.0,stacktrace:,prestodb_presto_issues_12623,3810.0,10,1.0,stacktrace:,prestodb_presto_issues_12623
3917,3917.0,23.0,0.0,**`jib-maven-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_3346,3917.0,23,1.0,**`jib-maven-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_3346
3945,3945.0,1.0,0.0,#### Error,realm_realm-java_issues_6555,3945.0,1,1.0,#### Error,realm_realm-java_issues_6555
4224,4224.0,159.0,0.0,**`jib-gradle-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_1922,4224.0,159,1.0,**`jib-gradle-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_1922
4226,4226.0,161.0,0.0,PASTE YOUR build.gradle CONFIGURATION HERE,GoogleContainerTools_jib_issues_1922,4226.0,161,1.0,PASTE YOUR build.gradle CONFIGURATION HERE,GoogleContainerTools_jib_issues_1922
4299,4299.0,5.0,1.0,An error has occured.,dbeaver_dbeaver_issues_982,4299.0,5,0.0,An error has occured.,dbeaver_dbeaver_issues_982
4970,4970.0,1.0,1.0,<!-- Bug report -->,elastic_elasticsearch_issues_28200,4970.0,1,0.0,<!-- Bug report -->,elastic_elasticsearch_issues_28200
5070,5070.0,63.0,0.0,See `org.apache.ibatis.ognl.DefaultClassResolver`,mybatis_mybatis-3_issues_1768,5070.0,63,1.0,See `org.apache.ibatis.ognl.DefaultClassResolver`,mybatis_mybatis-3_issues_1768
5501,5501.0,9.0,1.0,"fun getRefinements(@QueryMap refinements: Map<String, String>): LiveData<ApiResponse<SearchRefinementResponse>>`",square_retrofit_issues_2509,5501.0,9,0.0,"fun getRefinements(@QueryMap refinements: Map<String, String>): LiveData<ApiResponse<SearchRefinementResponse>>`",square_retrofit_issues_2509
6339,6339.0,8.0,0.0,`./mvnw compile quarkus:dev` result in error:,quarkusio_quarkus_issues_5521,6339.0,8,1.0,`./mvnw compile quarkus:dev` result in error:,quarkusio_quarkus_issues_5521
6359,6359.0,28.0,0.0,# drop and create the database at startup (use `update` to only update the schema),quarkusio_quarkus_issues_5521,6359.0,28,1.0,# drop and create the database at startup (use `update` to only update the schema),quarkusio_quarkus_issues_5521
6563,6563.0,8.0,1.0,* Local MySQL database,dbeaver_dbeaver_issues_7786,6563.0,8,0.0,* Local MySQL database,dbeaver_dbeaver_issues_7786
7009,7009.0,37.0,0.0,'com.google.android.exoplayer:exoplayer:2.8.2',google_ExoPlayer_issues_4643,7009.0,37,1.0,'com.google.android.exoplayer:exoplayer:2.8.2',google_ExoPlayer_issues_4643
7133,7133.0,0.0,1.0,[CI] FlushIT#testSyncedFlushSkipOutOfSyncReplicas failure,elastic_elasticsearch_issues_29392,7133.0,0,0.0,[CI] FlushIT#testSyncedFlushSkipOutOfSyncReplicas failure,elastic_elasticsearch_issues_29392
7238,7238.0,31.0,1.0,master,elastic_elasticsearch_issues_78913,7238.0,31,0.0,master,elastic_elasticsearch_issues_78913
7259,7259.0,14.0,0.0,"`""General -> Network Connections -> Proxy entries"".`",dbeaver_dbeaver_issues_8519,7259.0,14,1.0,"`""General -> Network Connections -> Proxy entries"".`",dbeaver_dbeaver_issues_8519
7484,7484.0,1.0,0.0,`SELECT YEAR(CAST(birth_date AS DATE)) FROM test_emp GROUP BY 1` results in,elastic_elasticsearch_issues_49386,7484.0,1,1.0,`SELECT YEAR(CAST(birth_date AS DATE)) FROM test_emp GROUP BY 1` results in,elastic_elasticsearch_issues_49386
7669,7669.0,3.0,1.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390,7669.0,3,0.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390
7673,7673.0,7.0,1.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390,7673.0,7,0.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390
7879,7879.0,0.0,1.0,Error : Could not evaluate condition on org.springframework.cloud.netflix.zuul.ZuulConfiguration#routeLocator due to com/netflix/zuul/ZuulFilter not found,spring-projects_spring-boot_issues_7024,7879.0,0,0.0,Error : Could not evaluate condition on org.springframework.cloud.netflix.zuul.ZuulConfiguration#routeLocator due to com/netflix/zuul/ZuulFilter not found,spring-projects_spring-boot_issues_7024
7908,7908.0,18.0,0.0,"REPRODUCE WITH: gradle :core:integTest -Dtests.seed=DD5109A109812A3D -Dtests.class=org.elasticsearch.cluster.routing.allocation.ShardStateIT -Dtests.method=""testPrimaryFailureIncreasesTerm"" -Dtests.security.manager=true -Dtests.locale=uk -Dtests.timezone=Pacific/Kosrae",elastic_elasticsearch_issues_25287,7908.0,18,1.0,"REPRODUCE WITH: gradle :core:integTest -Dtests.seed=DD5109A109812A3D -Dtests.class=org.elasticsearch.cluster.routing.allocation.ShardStateIT -Dtests.method=""testPrimaryFailureIncreasesTerm"" -Dtests.security.manager=true -Dtests.locale=uk -Dtests.timezone=Pacific/Kosrae",elastic_elasticsearch_issues_25287
