,Reviewer1,Text,ID,src,Fabio,Mika,Disagreement
1302,0,Gaia: 539a25e1887b902b8b25038c547048e691bd97f6,1303,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
611,0,: +   <td style=\margin-left: 1em;\>,612,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
811,1,where is your ES cluster running?,812,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
393,0,kuberuntime_manager.go:840] PodSandboxStatus of sandbox f2b7e698489b137af28011147276ab5dedd736eb299c4c56360734201e772f81 for pod frameloss-empty-59549d5d8-8mvjf_default(7c4790f8-b9a7-11e7-acba-005056aa3222) error: rpc error: code = Unknown desc = Error response from daemon: open /var/lib/docker/overlay/7871d8b75de341fbfcdea6f04f7950164259026420b1b8d454a02fabb991f26a/lower-id: no such file or directory,394,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
1593,1,: One idea was for me to use a filter with the copy task that e.g.,1594,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
638,1,It's been discusse,639,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
187,1,might be \foo,188,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1351,0,nsDocShell::EnsureScriptEnvironment() [nsDocShell.cpp:2484],1352,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
319,0,- name: root,320,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
167,1,"I restarted the master just to eliminate that something in it was wrong, and then I did some serious pod-o-cide and killed many of them so they would get rescheduled",168,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
746,0,22h 1s 9 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 15,747,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
1470,1,"I'm not sure the address we have associated to .NG is still valid. Moreover, for sure we need to increase the SLD list.",1471,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1707,1,Ah ... got the beginnings of a diagnosis. The problem appears when the DocSet {{qDocSet}} returned by DocSetHitCollector.getDocSet() -- called at org.apache.solr.search.SolrIndexSearcher:1101 in trun,1708,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
764,0,> Key: SOLR-1353,765,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1112,0,unsigned int & 0) line 949 + 15 bytes,1113,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
6,1,and there's no plug-in to handle it the value should fallback to some default,7,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1871,1,"hey, is there a way on Expo to upload our own push certificate / keys, so that Expo push can be supported on ejected apps? This would be handy because detaching currently means having to rewrite the whole push infrastructure of an existing Expo app, and migrating from Expo to OneSignal or manual push is not as straightforward as it can seems",1872,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1756,1,This is *not* the same burping sound as the type-ahead-find error sound. This is,1757,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1193,0,AU  client/ruby/flare/public/images/pie_98.png,1194,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1754,1,possible way with this request handler?,1755,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1625,0,Top150: 92.68%,1626,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
894,0,while (true) {,895,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
102,1,Reproducible: Always,103,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1261,1,should work.,1262,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
338,1,> >> > For one of our projects - we need custom admin monitoring hooks that,339,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
84,1,@mario for namespaces I just use -n <namespace> in my commands,85,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1821,1,> Thanks.,1822,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
653,1,The current source in CVS doesn't work for me (the example doesn't,654,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1545,0,default,1546,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,0.0,True
746,1,### Eclipse Workspace Patch 1.,747,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
858,0,Fix Version/s: 1.2,859,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
996,1,understand - but I also want to figure out why this is broken when the GCP version works fine without any issue,997,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
228,1,"hmm, shouldnt I delete this pod first? and try all over again?",229,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1264,1,follows this tip is going to decide Solr sucks the first time they,1265,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
828,1,"Drivers: asking for blocking, as this is an easy and unobtrusive perf win. Anything that reduces query time in moz_places will positively affect perf of autocomplete, bookmarks and history search, etc.",829,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1942,0,@@ -20,1943,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1459,0,https://bugzilla.mozilla.org/show_bug.cgi?id=938466#c15,1460,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1832,1,> Determine if prefix,1833,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1652,1,hi guys.. good morning,1653,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
79,1,@kdockery Should that work with a curl request?,80,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
964,1,ok?,965,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
926,1,@luxas here,927,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
794,1,"Hey everyone, does anyone have any info on when the RPM 1.8.2 packages are being released, I see the DEB ones are already available but not the RPMs? Thanks!",795,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1379,1,> term buffer char array.  The reason this comes up is that,1380,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1164,0,<str name=\classname\>org.apache.solr.spelling.suggest.Suggester</str>,1165,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
657,1,"[Blocking Requested - why for this release]: By using same hardware, Youtube app play lower resolution video on fxos compared to android.",658,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1311,1,>  3. LazyFields are incompatible with the sundry Field declarations scattered about Solr.  I believe I've changed all the necessary locations to Fieldable.,1312,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1934,0,>   Reporter: Sachin,1935,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1074,0,httpGet:,1075,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
840,0,var elements = [];,841,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
183,1,"I don't think the awesomebar is affected by this either way, since we explicitly decode URIs there.",184,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
24,0,yoavs@computer.org / www.yoavshapira.com,25,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1677,1,"effected PC, but that uses up valuable space in the taskbar by the ""Highstream",1678,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
634,1,Reproducible: Always,635,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1745,1,seems like a bunch of people are getting failures on exp detach now on SDK 24,1746,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1143,1,system proerty should be se,1144,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1263,1,> Affects Versions: 1.1.0,1264,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1121,0,:  %>,1122,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1451,1,"again, export the yaml file.. and then delete it..",1452,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
439,1,"hi everyone, i started using the 1.8 release of kubernetes today and when ever I try to delete a statefulset, i get a panic with the following trace:",440,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1316,1,>>>> interface all on its own.,1317,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
543,0,"@@ +482,3 @@",544,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
981,1,: but if defaultSearch is an HTTP request paramete,982,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
80,1,facet count for the non-collapsed value then when I click on that facet,81,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
20,1,"(It has problems with high CPU usage on display of Speedread page, but that's for their developers to tackle)",21,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1454,1,i'm writing some tooling to make it a little bit more stable,1455,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
254,1,"from my understanding defaul ttl for events is 1h (should be configurable on apiserver). that could be the reason for Events: <none>. maybe u could delete the statefulset and recreate it, then describe. not sure at all if that will help",255,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
465,1,@mauilion any idea on this by any change? (see the previous comment as well),466,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
117,1,>> traditional single core to usage to multicore usag,118,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
506,1,Does anyone know how the kubectl get pods command figures out that the pod is in status Running? I'm looking through the code but havent found it yet.,507,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
271,1,Update URL for test cases created for this user story. Dialer suite will be selected and tested as well.,272,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
288,0,16:27:17     INFO -  chrome://mochitests/content/browser/toolkit/components/thumbnails/test/browser_thumbnails_bg_destroy_browser.js:runTests:19,289,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
213,0,Firmware Version: L1TC10011800,214,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,0.0,True
233,0,Type: GCEPersistentDisk,234,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
553,1,i'mean. are u sure u are looking in the right namespace?,554,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1314,1,"for a moment so that your pointer changes from an arrow to the hand. Now, move",1315,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
544,1,Take a look at OpenTracing,545,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1700,1,> : That's normally fin,1701,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1540,0,>   Reporter: Andrzej Bialecki,1541,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
788,1,Environment: Centos,789,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
864,1,below).  I hadn't applied my patch yet.,865,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
83,0,>   <property name='mp0'>a value</property>  <!-- a basic property -->,84,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1542,0,.....,1543,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
308,1,@spotter check if kube-proxy on node is up and running,309,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
710,1,should I create a new PVC with a larger size to mount to the existing node -> do rsync -> restart node to mount to new PVC,711,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
103,1,"3.1. The notification panel should probably explicitly specify that the label (class: ""popup-notification-description"") is the description for the panel (using aria-describedby?). This isn't essential, as screen readers generally use algorithms to work this out, but it's more correct.",104,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1580,1,use kubeadm..,1581,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1310,1,"@liggitt Thinking, that seems reasonable. It's different from what I was approaching but makes more sense. Thank you!",1311,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
625,0,# multi_accept on;,626,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
23,0,name: my-app,24,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
531,1,>>> rather than pulling it out of the request.  Any objections to that?,532,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1870,1,If you want you can get access to my repo or my expo build,1871,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1110,1,"Scans for WiFi networks, either on all  WiFi  links,  or",1111,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1488,0,<int name=\price:[* TO 500]\>2</int>,1489,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1170,1,"@tamal because deployment restarts the containers when they exit or fail, I need them to pull and start a fresh new one each time one container exits.",1171,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
745,0,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5,746,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
118,1,View this message in context: http://www.nabble.com/synonyms-tf4925232.html#a14096050,119,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1018,0,: core0 ) then call config.tellAboutCore( core1 );,1019,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1194,1,"yeah exactly, they're just disks you see in the UI that are hard coded to your deployment",1195,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
245,0,- proxying requests,246,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
873,0,<fields>,874,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1639,0,| ----------- | -------- | ------ | ------ | ------ | ------ | --------- |,1640,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
549,0,from http://mail-archives.apache.org/mod_mbox/lucene-solr-user/200807.mbox/%3cC4AC838E.ADE7%25jonathan_lee@comcast.com%3e:,550,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1154,0,: -<%@ page contentType=\text/html; charset=utf-8\ pageEncoding=\UTF-8\%>,1155,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
93,1,@masteinhauser You want -> @liggitt,94,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
77,1,> The patch file to grab is solr-215.patch.zip (see MISC session below).,78,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
469,1,That should work. The overlay will take care of adding routes for your pods and kube-proxy will add iptables rules on all nodes to let them reach Service IPs,470,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
787,1,Does anybody have experience connecting to JMX on AWS/Kuberntes pod?,788,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1699,1,is that file at the root of your monorepo?,1700,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1837,1,I thought that only worked for apps within expo's platform,1838,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1063,0,<entity name=\foo\ threads=\4\>,1064,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1706,1,The reason why Payments is undefined on iOS is because you didn't add the Payments subspec @burnsieuk,1707,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1967,0,> URL: https://issues.apache.org/jira/browse/SOLR-935,1968,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1862,0,</target>,1863,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1664,0,>  return params.getParams(param).addAll(defaults.getParams(param));,1665,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1891,1,cause the browser to crash.,1892,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1204,0,[junit] 2008-04-02 08:16:39.555::INFO:  Shutdown hook complete,1205,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
604,1,yup I know but it seems dead for today,605,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
942,0,print.tmp.printerfeatures.laserjet.paper.6.width_mm: 190,943,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1550,1,Yes,1551,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
708,0,"*,nsID const&,int,nsIXPConnectJSObjectHolder * *)+0x4c3",709,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
834,0,"0x01cd40cc, int * 0x0012e504) line 3838 + 56 bytes",835,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1185,1,- 2 times faster for get(index),1186,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
386,1,and Michael Krax confirmed today (per e-mail) that the iconURL part is basically,387,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1586,1,You are welcome!,1587,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1119,0,>   at org.apache.solr.handler.component.SearchHandler.handleRequestBody(SearchHandler.java:174),1120,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1399,0,> J  org.mortbay.jetty.Server.handle(Ljava/lang/String;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;I)Z,1400,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
401,1,but for anything over 1.12.6 please read: https://github.com/kubernetes/kubernetes/issues/40182,402,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
31,1,it's set to 1.1,32,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1483,1,What do you use for the monitoring alert? prometheus?,1484,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
680,1,I still have some thing,681,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
599,1,Given the following:,600,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1149,0,> > > > > > > str = new String(dat,1150,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1544,1,"By the way, this point DID come out on the Security Review, it was argued and in the end the agreement was that the developer can choose to not send any data.",1545,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1860,0,@singhalok641 uploaded a file: index.jpeg,1861,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
565,1,when I go to delete it to try again it times out with this sync error and I have no idea whats going on. I can't even exec into the pods and check namepaces nothing. I know it's not a quota issue I think I'm good there,566,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
213,0,>  contrib/javascript/src/core/QueryItem.js,214,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1966,1,change react: ~15.4.2 to react: 16.0.0-alpha.6 like it says,1967,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
865,1,before,866,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
607,1,and it's working fine.,608,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
450,0,> Key: SOLR-383,423,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1692,1,height to prevent the margins from collapsing through.,1693,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
812,1,Both are not for application level monitoring i think. Seems i need to include it on dockerfile,813,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1477,1,@U7QUTMCKY this is how i learned k8s https://github.com/kelseyhightower/kubernetes-the-hard-way,1478,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
734,1,It is not clear to me why this patch would be causing those bc3 permaleaks:,735,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
271,0,{code}rsp.setHttpCaching(true/false);{code},272,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1038,0,hostPath:,1039,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
526,1,"I have no time to work on mozilla at the moment, so dougt is taking over FTP",527,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
80,0,- host: labels.foo.eu,81,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1204,1,"Oh yes, thanks for correcting me @sleepybrett",1205,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1285,0,>  client/ruby/solr-ruby/test/unit/add_document_test.rb,1286,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1545,0,serviceName: nginx-service-ingress-https,1546,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
177,1,"@high_on_bananas okay, np",178,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
585,0,[yonik] SOLR-747: update example solrconfig.xml,586,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1992,0,return mInputPortManager.forget();,1993,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
863,0,I didn't recycle RTFs since they are created somewhat differently. It should be,864,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1438,0,name: pricelabel-app,1439,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
296,1,I have given it a existing public ip in a different resource group then my current one but it's not creating a lb,297,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1615,1,> IIUC the agreed way of working is to do all important changes as,1616,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1647,1,>>>> Again,1648,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
157,1,"yes, restartPolicy is done at the pod layer, not the deployment or job layer.",158,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1027,1,"so ideally, it shudnt run /apps/mst/deployments/scripts/app_deploy.sh, but I dont even know if it is because of that...",1028,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
410,0,rewrite /.*\.(jpg|js$|css|html|png|bmp|gif) / break,411,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1958,1,> you mean individual values in the field?,1959,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1937,0,- 2136 mfbt/ThreadLocal.h from js/src/jsapi.h,1938,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
956,1,7. Open Settings app and go to Data Settings.,957,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
756,1,Works for me. (WinXP SP2),757,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
