,train_samples,test_samples,params,classification_report,macro_f1,roc-auc,perf_runtime,timeit_runtime,perf_train_runtime
0,2819,1594,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       794
        text       0.93      0.93      0.93       800

    accuracy                           0.93      1594
   macro avg       0.93      0.93      0.93      1594
weighted avg       0.93      0.93      0.93      1594
",0.9335002085940759,0.9335044080604534,0.12088892099563964,0.11920720670023002,0.752602880995255
0,2819,1572,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.94      0.92       785
        text       0.94      0.90      0.92       787

    accuracy                           0.92      1572
   macro avg       0.92      0.92      0.92      1572
weighted avg       0.92      0.92      0.92      1572
",0.9217359310180409,0.9217774504487735,0.1220509159975336,0.12830923779984005,0.529619280998304
0,2819,1574,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.92      0.93       786
        text       0.92      0.93      0.93       788

    accuracy                           0.93      1574
   macro avg       0.93      0.93      0.93      1574
weighted avg       0.93      0.93      0.93      1574
",0.9256634596172126,0.9256597047312745,0.11955133599985857,0.12276755620041513,0.5587468950034236
0,2819,1586,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.91      0.91       807
        text       0.91      0.92      0.91       779

    accuracy                           0.91      1586
   macro avg       0.91      0.91      0.91      1586
weighted avg       0.91      0.91      0.91      1586
",0.9123427655763223,0.9124087533186034,0.1331874909956241,0.12628722119989105,0.5598225809953874
0,2819,1568,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       791
        text       0.92      0.92      0.92       777

    accuracy                           0.92      1568
   macro avg       0.92      0.92      0.92      1568
weighted avg       0.92      0.92      0.92      1568
",0.9190024335551584,0.9190271181421624,0.12562184000125853,0.12162714450023486,0.611343748998479
0,2819,1590,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       801
        text       0.93      0.93      0.93       789

    accuracy                           0.93      1590
   macro avg       0.93      0.93      0.93      1590
weighted avg       0.93      0.93      0.93      1590
",0.927039869364815,0.9270398693648149,0.11794271200051298,0.12246807019982953,0.6042089779948583
0,2819,1592,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.93       786
        text       0.93      0.92      0.93       806

    accuracy                           0.93      1592
   macro avg       0.93      0.93      0.93      1592
weighted avg       0.93      0.93      0.93      1592
",0.9277615103952324,0.9278392337367959,0.12548342000081902,0.1242403367003135,0.5560401660040952
0,2819,1588,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.91      0.93       800
        text       0.91      0.94      0.93       788

    accuracy                           0.93      1588
   macro avg       0.93      0.93      0.93      1588
weighted avg       0.93      0.93      0.93      1588
",0.927575401970003,0.9277062182741116,0.12745555500441696,0.12867195009966964,0.56331562899868
0,2819,1589,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       806
        text       0.92      0.93      0.92       783

    accuracy                           0.93      1589
   macro avg       0.93      0.93      0.93      1589
weighted avg       0.93      0.93      0.93      1589
",0.9257264862466725,0.9257421192905064,0.12464583999826573,0.1220558612003515,0.56580242599739
0,2819,1590,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       815
        text       0.92      0.92      0.92       775

    accuracy                           0.93      1590
   macro avg       0.93      0.93      0.93      1590
weighted avg       0.93      0.93      0.93      1590
",0.9251121773750197,0.9251256679200475,0.12220756399619859,0.12156764579995069,0.5937196069935453
0,2819,1582,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.91      0.93       787
        text       0.92      0.94      0.93       795

    accuracy                           0.93      1582
   macro avg       0.93      0.93      0.93      1582
weighted avg       0.93      0.93      0.93      1582
",0.9285474180846985,0.928502473368336,0.12494932999834418,0.12346267519969842,0.6066586890010512
0,2819,1605,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.95      0.94       806
        text       0.94      0.93      0.94       799

    accuracy                           0.94      1605
   macro avg       0.94      0.94      0.94      1605
weighted avg       0.94      0.94      0.94      1605
",0.9389339590703396,0.9389124743398232,0.13210988300124882,0.12891862340038643,0.5736882450000849
0,2819,1600,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       816
        text       0.92      0.92      0.92       784

    accuracy                           0.92      1600
   macro avg       0.92      0.92      0.92      1600
weighted avg       0.92      0.92      0.92      1600
",0.9199754924945764,0.9200180072028811,0.12953023700538324,0.12775013510035932,0.6273133750000852
0,2819,1603,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.95      0.93       807
        text       0.95      0.91      0.93       796

    accuracy                           0.93      1603
   macro avg       0.93      0.93      0.93      1603
weighted avg       0.93      0.93      0.93      1603
",0.9307116914309879,0.9306274246075483,0.12129892499797279,0.12509309360029874,0.5829393999956665
0,2819,1589,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.95      0.94       801
        text       0.95      0.92      0.94       788

    accuracy                           0.94      1589
   macro avg       0.94      0.94      0.94      1589
weighted avg       0.94      0.94      0.94      1589
",0.9370331976515642,0.9369395489141111,0.12068041299789911,0.12526193620069534,0.570909728994593
0,2819,1556,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.93      0.93       789
        text       0.93      0.93      0.93       767

    accuracy                           0.93      1556
   macro avg       0.93      0.93      0.93      1556
weighted avg       0.93      0.93      0.93      1556
",0.9325092170895684,0.9325330530782616,0.12369220399705227,0.12133306719988468,0.5379834280029172
0,2819,1587,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       790
        text       0.94      0.92      0.93       797

    accuracy                           0.93      1587
   macro avg       0.93      0.93      0.93      1587
weighted avg       0.93      0.93      0.93      1587
",0.9306806377524277,0.9307466289725711,0.11413573400204768,0.11794487950028269,0.6148070329945767
0,2819,1593,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       786
        text       0.94      0.92      0.93       807

    accuracy                           0.93      1593
   macro avg       0.93      0.93      0.93      1593
weighted avg       0.93      0.93      0.93      1593
",0.929061862450735,0.9291433733458195,0.12216291899676435,0.12155132939951727,0.5838099870015867
0,2819,1598,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       796
        text       0.94      0.92      0.93       802

    accuracy                           0.93      1598
   macro avg       0.93      0.93      0.93      1598
weighted avg       0.93      0.93      0.93      1598
",0.9311570534059597,0.9312146768756501,0.1262938009967911,0.12648679159974563,0.6071083860006183
0,2819,1594,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       800
        text       0.94      0.92      0.93       794

    accuracy                           0.93      1594
   macro avg       0.93      0.93      0.93      1594
weighted avg       0.93      0.93      0.93      1594
",0.9290990858008837,0.9290774559193955,0.12273683399689617,0.12734952199971303,0.6470397060038522
0,2819,1615,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.93      0.92       802
        text       0.93      0.91      0.92       813

    accuracy                           0.92      1615
   macro avg       0.92      0.92      0.92      1615
weighted avg       0.92      0.92      0.92      1615
",0.9219799584077149,0.9220537217841005,0.12493496699607931,0.128252569000324,0.5762642030022107
0,2819,1601,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.93      0.92       789
        text       0.93      0.91      0.92       812

    accuracy                           0.92      1601
   macro avg       0.92      0.92      0.92      1601
weighted avg       0.92      0.92      0.92      1601
",0.9237968832417283,0.9239434465276867,0.11951306699484121,0.12019490520033287,0.5870653109959676
0,2819,1574,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.93       781
        text       0.93      0.92      0.93       793

    accuracy                           0.93      1574
   macro avg       0.93      0.93      0.93      1574
weighted avg       0.93      0.93      0.93      1574
",0.9269377087558905,0.9269867744815793,0.11677599000540795,0.1233989829001075,0.5929434520003269
0,2819,1586,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       792
        text       0.94      0.92      0.93       794

    accuracy                           0.93      1586
   macro avg       0.93      0.93      0.93      1586
weighted avg       0.93      0.93      0.93      1586
",0.931270338233394,0.9312838714601939,0.12160140400374075,0.12063551760002156,0.5924755640007788
0,2819,1598,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.90      0.92       790
        text       0.91      0.93      0.92       808

    accuracy                           0.92      1598
   macro avg       0.92      0.92      0.92      1598
weighted avg       0.92      0.92      0.92      1598
",0.9173500094037992,0.9172452688306806,0.12444208000670187,0.12696880709991093,0.5825840559991775
0,2819,1610,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.93      0.93       807
        text       0.93      0.94      0.93       803

    accuracy                           0.93      1610
   macro avg       0.93      0.93      0.93      1610
weighted avg       0.93      0.93      0.93      1610
",0.9316769132007456,0.9316858558596094,0.12762292999832425,0.1250280530002783,0.5731360630015843
0,2819,1589,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.90      0.93      0.92       778
        text       0.93      0.91      0.92       811

    accuracy                           0.92      1589
   macro avg       0.92      0.92      0.92      1589
weighted avg       0.92      0.92      0.92      1589
",0.9181849146876634,0.9184660468684129,0.12554598999849986,0.1256436103998567,0.5902824440054246
0,2819,1596,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.92       789
        text       0.93      0.92      0.92       807

    accuracy                           0.92      1596
   macro avg       0.92      0.92      0.92      1596
weighted avg       0.92      0.92      0.92      1596
",0.9223013719282376,0.9223382852512003,0.12230488900240744,0.12516726890025892,0.5964299319966813
0,2819,1582,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.92      0.92       777
        text       0.92      0.93      0.93       805

    accuracy                           0.92      1582
   macro avg       0.92      0.92      0.92      1582
weighted avg       0.92      0.92      0.92      1582
",0.924746016105467,0.9246992333948856,0.12725606000458356,0.12620429630042054,0.5803630570007954
0,2819,1583,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.93      0.92       790
        text       0.93      0.91      0.92       793

    accuracy                           0.92      1583
   macro avg       0.92      0.92      0.92      1583
weighted avg       0.92      0.92      0.92      1583
",0.9178679757343551,0.9179010966207479,0.11975808900024276,0.11931637130037416,0.6007397769935778
0,2819,1599,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       793
        text       0.94      0.92      0.93       806

    accuracy                           0.93      1599
   macro avg       0.93      0.93      0.93      1599
weighted avg       0.93      0.93      0.93      1599
",0.9305806360772303,0.9306736362526951,0.12558932499814546,0.1243442901999515,0.5726522770055453
0,2819,1572,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       792
        text       0.92      0.91      0.92       780

    accuracy                           0.92      1572
   macro avg       0.92      0.92      0.92      1572
weighted avg       0.92      0.92      0.92      1572
",0.9191993922672729,0.919172494172494,0.11852277899743058,0.118949804300064,0.5538711109984433
0,2819,1555,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       774
        text       0.93      0.93      0.93       781

    accuracy                           0.93      1555
   macro avg       0.93      0.93      0.93      1555
weighted avg       0.93      0.93      0.93      1555
",0.9311892552922673,0.9311970011282164,0.11851538300106768,0.12078303360030987,0.5942347189993598
0,2819,1588,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.92       785
        text       0.93      0.92      0.92       803

    accuracy                           0.92      1588
   macro avg       0.92      0.92      0.92      1588
weighted avg       0.92      0.92      0.92      1588
",0.9225415925918728,0.9225983771049647,0.121783869995852,0.12142997290065978,0.5762973849996342
0,2819,1617,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.91      0.92       823
        text       0.91      0.94      0.92       794

    accuracy                           0.92      1617
   macro avg       0.92      0.92      0.92      1617
weighted avg       0.92      0.92      0.92      1617
",0.9220778922762487,0.9223635039221867,0.12236579699674621,0.12775792669999647,0.5723352799977874
0,2819,1583,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       790
        text       0.94      0.92      0.93       793

    accuracy                           0.93      1583
   macro avg       0.93      0.93      0.93      1583
weighted avg       0.93      0.93      0.93      1583
",0.9260839216935195,0.9261097897744505,0.12585117299749982,0.12468229119986063,0.5622192720038584
0,2819,1598,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.92      0.93       795
        text       0.92      0.93      0.93       803

    accuracy                           0.93      1598
   macro avg       0.93      0.93      0.93      1598
weighted avg       0.93      0.93      0.93      1598
",0.9267731273521558,0.9267471823429435,0.12241738900047494,0.12199535749969073,0.605734091004706
0,2819,1551,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       788
        text       0.93      0.92      0.92       763

    accuracy                           0.93      1551
   macro avg       0.93      0.93      0.93      1551
weighted avg       0.93      0.93      0.93      1551
",0.9251868706525753,0.9251693156189499,0.12292761100252392,0.12159120930009522,0.5777184739999939
0,2819,1592,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.90      0.94      0.92       796
        text       0.94      0.90      0.92       796

    accuracy                           0.92      1592
   macro avg       0.92      0.92      0.92      1592
weighted avg       0.92      0.92      0.92      1592
",0.9208181555499766,0.920854271356784,0.12336230499931844,0.12128125379967969,0.5851896739986842
0,2819,1597,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.92      0.93       806
        text       0.92      0.93      0.93       791

    accuracy                           0.93      1597
   macro avg       0.93      0.93      0.93      1597
weighted avg       0.93      0.93      0.93      1597
",0.928614783795229,0.9286569125992478,0.13041754200094147,0.1237957542994991,0.5753960189977079
0,2819,1571,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       794
        text       0.92      0.92      0.92       777

    accuracy                           0.92      1571
   macro avg       0.92      0.92      0.92      1571
weighted avg       0.92      0.92      0.92      1571
",0.9191533503927516,0.9191709701785268,0.11808308799663791,0.11656223359968862,0.6046878740016837
0,2819,1555,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.91      0.92       784
        text       0.91      0.93      0.92       771

    accuracy                           0.92      1555
   macro avg       0.92      0.92      0.92      1555
weighted avg       0.92      0.92      0.92      1555
",0.9189707594986966,0.9190514240715741,0.11931076600012602,0.12376699769956759,0.5842327290010871
0,2819,1573,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.95      0.93       779
        text       0.95      0.92      0.93       794

    accuracy                           0.93      1573
   macro avg       0.93      0.93      0.93      1573
weighted avg       0.93      0.93      0.93      1573
",0.9338829881824208,0.9340116664457113,0.12693305400171084,0.12501407709933118,0.6035785319982097
0,2819,1598,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.93      0.93       800
        text       0.93      0.93      0.93       798

    accuracy                           0.93      1598
   macro avg       0.93      0.93      0.93      1598
weighted avg       0.93      0.93      0.93      1598
",0.9305381455143967,0.9305388471177944,0.12570076799602248,0.12420161759946495,0.5717321539996192
0,2819,1585,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       790
        text       0.92      0.92      0.92       795

    accuracy                           0.92      1585
   macro avg       0.92      0.92      0.92      1585
weighted avg       0.92      0.92      0.92      1585
",0.916717618510805,0.9167144335642066,0.1217820660021971,0.12356332310009747,0.6178053980038385
0,2819,1564,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.90      0.91       779
        text       0.91      0.92      0.91       785

    accuracy                           0.91      1564
   macro avg       0.91      0.91      0.91      1564
weighted avg       0.91      0.91      0.91      1564
",0.9130262690892914,0.9130029516855678,0.12068352600181242,0.12079480229949695,0.5777067140006693
0,2819,1580,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.95      0.93       784
        text       0.95      0.91      0.93       796

    accuracy                           0.93      1580
   macro avg       0.93      0.93      0.93      1580
weighted avg       0.93      0.93      0.93      1580
",0.9284727321821826,0.928616295764537,0.1303685620005126,0.12604312160037806,0.5722374260003562
0,2819,1600,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.95      0.94       789
        text       0.95      0.93      0.94       811

    accuracy                           0.94      1600
   macro avg       0.94      0.94      0.94      1600
weighted avg       0.94      0.94      0.94      1600
",0.9374984374609365,0.9376085166101716,0.12197707199811703,0.1227681099997426,0.5625904179978534
0,2819,1592,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.92      0.93       803
        text       0.92      0.94      0.93       789

    accuracy                           0.93      1592
   macro avg       0.93      0.93      0.93      1592
weighted avg       0.93      0.93      0.93      1592
",0.9271356783919599,0.9272073829602868,0.1214869980030926,0.1229212694997841,0.5833153260027757
0,2819,1563,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.93      0.92       766
        text       0.93      0.91      0.92       797

    accuracy                           0.92      1563
   macro avg       0.92      0.92      0.92      1563
weighted avg       0.92      0.92      0.92      1563
",0.9225802093887199,0.9227955027174358,0.1225685399986105,0.12183339670009445,0.5835992239954066
0,2819,1573,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.92      0.92       788
        text       0.92      0.91      0.91       785

    accuracy                           0.91      1573
   macro avg       0.91      0.91      0.91      1573
weighted avg       0.91      0.91      0.91      1573
",0.9148082942097027,0.9148024507743542,0.12359802499850048,0.12695341050057324,0.5843632360047195
